"","QKEY","Device_Type_W63.5","LANG_W63.5","COVIDFOL_W63.5","COVIDCOVER1_W63.5","COVIDCOVER2_W63.5","COVIDCONF_a_W63.5","COVIDCONF_b_W63.5","COVIDCONF_c_W63.5","COVIDCONF_d_W63.5","COVIDTONE_a_W63.5","COVIDTONE_b_W63.5","COVIDTONE_c_W63.5","COVIDTONE_d_W63.5","COVIDNEWS1_W63.5","COVIDTHREAT_a_W63.5","COVIDTHREAT_b_W63.5","COVIDTHREAT_c_W63.5","COVIDTHREAT_d_W63.5","COVIDTHREAT_e_W63.5","COVIDMISINFO_W63.5","COVIDVACC_W63.5","COVIDCREATE_W63.5","COVIDWORK_W63.5","INSURANCE_W63.5","GROUP_TRUST_a_W57","NEWS_MOST_W57","TALKPOL_W57","FOLELECT_W57","CR_PARTYNEWSUSE_W57","CR_NEWS_INFLU_W57","CR_DIG_SAV_W57","CR_MAINSOPOL_GROUPS_W57","CR_KNOWLEDGE_INDEX_W57","F_METRO","F_CREGION","F_AGECAT","F_SEX","F_EDUCCAT","F_EDUCCAT2","F_HISP","F_RACECMB","F_RACETHN","F_CITIZEN","F_NATIVITY2","F_MARITAL","F_RELIG","F_BORN","F_ATTEND","F_PARTY_FINAL","F_PARTYLN_FINAL","F_PARTYSUM_FINAL","F_INCOME","F_INCOME_RECODE","F_REG","F_IDEO","F_ACSWEB","F_VOLSUM","WEIGHT_W63.5"
"1",100197,3,1,2,1,1,4,3,2,2,3,5,3,4,1,2,1,2,2,2,2,3,5,4,1,2,5,3,1,4,2,3,5,3,1,2,4,2,2,3,2,1,1,1,1,3,2,2,1,2,NA,2,3,3,1,3,1,1,0.326264916960064
"2",100260,3,1,2,2,2,1,1,3,1,1,3,1,3,3,2,2,1,2,2,2,3,1,2,1,4,2,3,1,1,2,3,98,3,1,4,4,1,1,5,2,1,1,1,1,6,12,NA,5,1,NA,1,6,2,1,1,1,2,0.655627244217435
"3",100314,2,1,2,2,2,1,1,1,1,1,3,4,3,2,2,2,1,2,2,3,3,2,4,1,2,3,3,3,3,3,2,2,1,2,2,4,1,2,3,2,1,1,1,1,2,1,2,5,1,NA,1,4,2,1,3,1,1,0.432865141903342
"4",100363,2,1,1,1,1,3,2,2,2,3,4,3,3,1,2,2,1,2,2,4,3,3,2,1,2,6,3,4,6,3,1,6,2,1,1,2,2,1,6,2,1,1,1,1,1,2,2,4,2,NA,2,9,1,1,3,1,1,0.396182801679236
"5",100446,1,1,1,2,2,3,4,2,2,2,4,2,3,1,2,2,1,2,1,3,3,5,1,1,2,7,2,2,5,2,2,3,3,1,1,3,2,1,6,2,3,4,1,1,6,11,NA,5,2,NA,2,8,1,1,4,1,1,0.392344039477402
"6",100598,1,1,2,2,2,3,3,2,2,3,4,4,3,1,1,2,1,2,2,3,4,3,5,1,2,7,4,3,3,3,1,3,1,1,4,3,2,1,6,2,1,1,1,1,1,1,1,4,1,NA,1,9,1,1,3,1,1,0.575062458055345
"7",100637,1,1,3,2,1,1,1,2,2,3,3,1,3,1,2,2,2,3,3,2,2,3,2,1,2,5,2,1,1,1,3,4,3,1,3,3,2,2,4,2,1,1,1,1,1,1,1,3,3,1,1,4,2,1,2,1,2,0.744339893184167
"8",100803,1,1,2,1,1,2,1,1,1,2,2,2,3,1,1,3,1,2,3,3,3,3,4,1,2,4,4,4,7,3,3,6,3,2,2,3,2,1,5,2,1,1,1,1,1,1,1,2,1,NA,1,9,1,1,2,1,1,0.353995675461113
"9",101437,1,1,1,3,2,1,1,2,3,1,3,1,1,2,2,2,2,3,3,2,3,1,4,1,3,7,1,1,1,2,2,98,2,2,2,3,2,2,3,2,1,1,1,1,3,1,1,2,3,1,1,2,3,1,2,1,2,0.81943329661904
"10",101472,1,1,1,2,2,4,3,1,2,3,4,3,3,1,1,3,1,2,2,1,5,3,1,1,1,7,3,2,2,2,2,98,3,1,3,2,1,1,6,2,1,1,1,1,1,2,2,5,3,1,1,7,1,3,3,2,2,4.64757766151946
"11",101493,2,1,1,2,1,2,1,4,2,2,3,1,3,1,1,1,1,3,1,2,5,1,4,1,4,7,2,2,2,2,1,2,2,1,4,3,1,2,3,1,1,3,1,1,1,10,NA,6,1,NA,1,6,2,1,2,1,2,0.610499932113926
"12",102009,3,1,1,3,2,4,4,2,4,2,5,3,4,2,2,3,1,2,2,2,3,3,1,1,1,4,2,1,5,1,1,98,3,1,3,4,1,2,3,2,1,1,1,1,1,10,NA,6,2,NA,2,9,1,1,4,1,1,0.244454452534219
"13",103379,3,1,1,2,1,1,1,1,1,4,3,5,3,1,2,2,2,3,2,2,2,2,1,1,4,2,1,1,2,1,3,4,3,1,3,4,1,2,3,2,1,1,1,1,1,1,1,2,1,NA,1,9,1,1,2,1,1,0.37830171774991
"14",103519,1,1,1,2,1,4,3,2,2,3,5,3,3,1,1,2,1,2,1,3,3,5,1,1,2,7,2,1,5,2,1,98,3,1,2,3,1,1,6,2,1,1,1,1,1,2,2,3,3,2,2,9,1,1,3,1,1,0.23078620749798
"15",103538,1,1,2,2,2,4,4,2,3,3,5,3,4,1,2,2,1,2,2,3,3,5,1,1,2,7,4,2,6,2,2,98,3,1,4,3,1,1,5,2,1,1,1,1,1,2,2,5,3,2,2,9,1,1,3,1,2,0.589995743402532
"16",103611,2,1,1,1,1,3,2,2,2,2,4,4,4,1,1,1,2,2,1,1,3,3,4,1,1,5,4,3,3,3,1,1,1,1,1,4,2,1,6,2,1,1,1,1,6,2,2,2,3,1,1,3,3,1,3,1,1,0.498409640318231
"17",103677,2,1,1,4,2,1,1,3,2,1,3,1,2,2,3,2,1,3,3,1,2,3,1,1,3,7,1,1,2,1,1,4,3,1,1,2,1,2,4,2,1,1,1,1,1,2,2,4,4,1,1,9,1,1,1,1,1,0.715149049972558
"18",103956,1,1,1,1,1,4,2,1,1,3,5,3,3,1,2,1,2,2,2,2,3,3,4,1,1,5,3,1,5,1,1,5,3,1,2,4,2,1,5,2,1,1,1,1,2,11,NA,5,2,NA,2,4,2,1,4,1,2,0.641349978087743
"19",104210,2,1,2,2,2,4,4,2,2,1,5,4,3,1,1,1,1,1,1,3,3,1,3,1,2,7,2,3,4,3,1,98,2,1,1,2,2,3,2,2,1,1,1,1,2,12,NA,6,4,2,2,2,3,1,5,1,2,2.4306302172877
"20",104272,1,1,2,2,2,4,3,2,2,2,5,2,3,3,1,2,1,1,2,3,5,3,1,1,3,7,4,3,4,3,1,98,3,1,2,2,1,2,3,2,1,1,1,1,1,2,2,5,2,NA,2,8,1,1,4,1,1,0.420350263878414
"21",104368,1,1,1,1,1,3,1,1,3,3,4,3,4,1,2,3,2,3,3,4,2,3,1,1,1,4,2,1,3,2,1,98,3,1,3,4,1,3,2,2,1,1,1,1,5,1,1,1,3,1,1,3,3,1,2,1,1,0.925134139711708
"22",104417,2,1,1,1,1,4,2,2,1,3,4,3,3,1,1,1,1,1,1,4,3,3,1,1,1,4,1,2,5,99,99,7,3,1,2,4,2,1,6,2,1,1,1,1,1,1,2,3,2,NA,2,8,1,1,4,1,1,0.280679685149751
"23",104491,1,1,1,2,2,4,4,1,4,2,5,3,3,1,1,1,1,2,1,4,3,5,4,1,2,5,2,2,5,2,2,5,3,1,4,4,2,2,3,2,1,1,1,6,1,12,NA,6,2,NA,2,6,2,1,5,1,2,0.862196825205366
"24",104689,2,1,2,1,1,4,3,2,2,3,5,3,4,1,2,3,1,2,3,3,3,3,4,1,2,4,1,2,5,2,2,3,1,2,2,4,2,3,2,2,1,1,1,1,5,1,2,2,2,NA,2,3,3,1,3,1,1,0.735476336556613
"25",104727,1,1,2,3,2,2,2,2,1,1,3,1,2,2,3,3,2,3,3,2,2,4,3,1,2,3,2,3,7,3,2,98,3,2,2,3,1,3,2,2,1,1,1,1,1,2,2,5,1,NA,1,8,1,1,3,1,2,3.97192394798268
"26",104937,1,1,1,1,1,4,4,1,2,3,5,4,4,1,1,2,1,1,1,3,3,3,4,1,1,4,2,1,5,2,1,2,3,1,3,4,1,1,6,2,1,1,1,1,3,12,NA,6,2,NA,2,8,1,1,3,1,2,0.354769880138869
"27",105124,1,1,1,4,3,1,1,2,1,4,3,4,3,2,2,3,2,3,2,2,3,3,1,1,2,5,1,1,2,1,1,4,3,1,3,3,1,1,6,2,1,1,1,1,1,2,2,1,1,NA,1,9,1,1,1,1,1,0.253244166426592
"28",105205,2,1,1,1,1,1,1,1,1,1,3,1,3,1,2,3,2,3,3,2,5,1,4,1,3,3,3,2,7,2,1,98,1,1,2,3,2,2,4,2,1,1,1,1,1,2,2,2,1,NA,1,8,1,1,2,1,1,0.560219158498044
"29",105269,2,1,1,1,1,4,4,2,2,2,5,4,3,1,1,1,1,1,2,2,3,1,2,1,1,5,3,2,5,2,1,2,3,1,2,4,1,1,6,2,1,1,1,1,1,2,2,3,3,2,2,6,2,1,3,1,1,0.227483968598657
"30",105959,1,1,2,2,2,4,3,2,2,3,5,3,3,1,2,2,1,1,2,3,3,3,2,1,1,4,2,2,5,1,1,3,3,1,4,3,2,1,6,2,1,1,1,1,2,2,2,5,2,NA,2,3,3,1,4,1,1,0.232603241984903
